customer_Id,DOB,Gender,city_code,,,,,
268275,1/2/1970,F,7,,,,,
274630,1/2/1970,M,4,,,,,
273541,1/2/1970,M,4,,,,,
270324,1/2/1970,F,1,,,,,
271312,1/4/1970,F,5,,,,,
268627,1/6/1970,M,9,,,,,
270430,1/6/1970,M,7,,,,,
273840,1/7/1970,M,3,,,,,
272721,1/9/1970,M,8,,,,,
273398,1/10/1970,F,1,,,,,
270567,1/11/1970,M,8,,,,,
268635,1/11/1970,M,4,,,,,
273556,1/12/1970,M,3,,,,,
268408,2/1/1970,M,4,,,,,
274834,2/4/1970,M,4,,,,,
271991,2/4/1970,M,5,,,,,
275250,2/5/1970,F,1,,,,,
271626,2/6/1970,,6,,,,,
267280,2/8/1970,M,5,,,,,
275134,2/9/1970,F,8,,,,,
267707,2/10/1970,F,2,,,,,
272555,3/5/1970,M,1,,,,,
272301,3/6/1970,F,8,,,,,
267304,3/8/1970,M,4,,,,,
267713,3/9/1970,M,1,,,,,
274029,3/9/1970,F,1,,,,,
272261,3/9/1970,F,9,,,,,
273170,3/10/1970,F,8,,,,,
271924,3/10/1970,M,5,,,,,
270827,4/3/1970,F,10,,,,,
273423,4/3/1970,F,4,,,,,
269765,4/4/1970,F,9,,,,,
268792,4/7/1970,M,4,,,,,
274628,4/9/1970,M,5,,,,,
270352,4/12/1970,M,2,,,,,
275200,4/12/1970,M,8,,,,,
269531,5/6/1970,M,2,,,,,
274892,5/7/1970,F,8,,,,,
270446,5/10/1970,M,10,,,,,
275166,5/11/1970,M,10,,,,,
273613,6/2/1970,M,1,,,,,
272071,6/4/1970,F,6,,,,,
268732,6/5/1970,M,2,,,,,
271478,6/5/1970,F,1,,,,,
274445,6/8/1970,M,8,,,,,
270678,6/8/1970,F,4,,,,,
273776,6/9/1970,F,2,,,,,
274743,6/9/1970,M,4,,,,,
267603,6/11/1970,F,1,,,,,
266954,6/11/1970,M,4,,,,,
269696,7/1/1970,F,8,,,,,
271692,7/3/1970,M,5,,,,,
270328,7/8/1970,F,4,,,,,
270051,7/9/1970,M,8,,,,,
273353,7/10/1970,F,4,,,,,
268159,8/1/1970,F,8,,,,,
274592,8/3/1970,M,5,,,,,
271777,8/3/1970,M,8,,,,,
274455,8/9/1970,F,10,,,,,
272088,8/9/1970,M,5,,,,,
273583,8/9/1970,M,5,,,,,
270331,8/10/1970,F,10,,,,,
271608,9/2/1970,F,4,,,,,
267529,9/5/1970,M,4,,,,,
274849,9/6/1970,M,4,,,,,
271031,9/6/1970,F,2,,,,,
272018,9/6/1970,F,6,,,,,
272186,9/6/1970,M,10,,,,,
273708,9/7/1970,F,7,,,,,
269449,9/8/1970,M,6,,,,,
267490,9/9/1970,F,4,,,,,
268709,9/9/1970,F,,,,,,
269676,9/10/1970,M,8,,,,,
270181,10/1/1970,F,2,,,,,
271066,10/5/1970,M,8,,,,,
267819,10/5/1970,F,9,,,,,
270047,10/6/1970,M,1,,,,,
274128,10/6/1970,M,10,,,,,
272495,10/7/1970,M,8,,,,,
267536,10/9/1970,M,3,,,,,
271286,10/9/1970,M,1,,,,,
272212,10/12/1970,M,4,,,,,
268073,11/1/1970,M,1,,,,,
268313,11/6/1970,F,8,,,,,
272926,11/7/1970,F,4,,,,,
273517,11/9/1970,M,5,,,,,
269919,11/10/1970,M,1,,,,,
266895,12/3/1970,M,4,,,,,
269271,12/5/1970,F,5,,,,,
275014,12/8/1970,M,4,,,,,
268365,12/9/1970,M,5,,,,,
268312,12/10/1970,F,9,,,,,
267959,12/10/1970,M,6,,,,,
268998,12/10/1970,F,7,,,,,
273169,12/12/1970,F,3,,,,,
274101,1/2/1971,M,1,,,,,
270120,1/2/1971,F,9,,,,,
272497,1/3/1971,M,10,,,,,
273545,1/3/1971,M,3,,,,,
268670,1/4/1971,M,9,,,,,
267350,1/4/1971,F,9,,,,,
271485,1/5/1971,M,10,,,,,
268909,1/5/1971,M,2,,,,,
268099,1/9/1971,M,5,,,,,
269715,2/1/1971,M,10,,,,,
274913,2/2/1971,M,8,,,,,
271323,2/2/1971,M,1,,,,,
270252,2/3/1971,M,5,,,,,
267101,2/3/1971,M,8,,,,,
273868,2/8/1971,M,2,,,,,
275190,2/11/1971,M,6,,,,,
272162,3/7/1971,F,5,,,,,
269764,3/8/1971,M,5,,,,,
275148,3/9/1971,F,4,,,,,
268108,3/9/1971,M,7,,,,,
268347,3/11/1971,M,6,,,,,
273618,3/11/1971,F,9,,,,,
272016,3/12/1971,F,7,,,,,
274562,3/12/1971,M,6,,,,,
271684,4/5/1971,M,4,,,,,
273146,4/6/1971,M,5,,,,,
267995,4/6/1971,M,4,,,,,
270036,4/6/1971,M,8,,,,,
